ABBR,State_name,,,,,,,,,,,,,
AC,Acre,,,,,,,,,,,,,
AL,Alagoas,,,,,,,,,,,,,
AM,Amazonas,,,,,,,,,,,,,
AP,Amapa,,,,,,,,,,,,,
BA,Bahia,,,,,,,,,,,,,
CE,Ceara,,,,,,,,,,,,,
DF,Distrito Federal,,,,,,,,,,,,,
ES,Espirito Santo,,,,,,,,,,,,,
GO,Goias,,,,,,,,,,,,,
MA,Maranhao,,,,,,,,,,,,,
MT,Mato Grosso,,,,,,,,,,,,,
MS,Mato Grosso do sul,,,,,,,,,,,,,
MG,"Minas Gerais	",,,,,,,,,,,,,
PA,Para,,,,,,,,,,,,,
PB,Paraiba,,,,,,,,,,,,,
PR,Parana,,,,,,,,,,,,,
PE,Pernambuco,,,,,,,,,,,,,
PI,Piaui,,,,,,,,,,,,,
RJ,Rio de Janeiro,,,,,,,,,,,,,
RN,Rio Grande do Norte,,,,,,,,,,,,,
RS,Rio Grande do Sul,,,,,,,,,,,,,
RO,Rondonia,,,,,,,,,,,,,
RR,Roraima,,,,,,,,,,,,,
SC,Santa Catarina,,,,,,,,,,,,,
SP,Sao Paulo,,,,,,,,,,,,,
SE,Sergipe,,,,,,,,,,,,,
TO,Tocantins,,,,,,,,,,,,,